"term","frequency","presence","doc_size_sum","type"
"easy","89263",73780,"406120549","G"
"jobs","127263",73660,"392724081","N"
"manager","108004",73611,"329715569","N"
"calls","89438",73600,"389698074","N"
"simple","90394",73596,"305005559","G"
"hour","91430",73586,"386512670","N"
"works","92634",73421,"418549070","G"
"moved","92354",73405,"389572618","G"
"leaving","86936",73351,"370139809","G"
"energy","133658",73347,"377563555","N"
"continued","84647",73323,"350463698","G"
"rules","118356",73102,"375459673","G"
"justice","127495",73038,"356961468","N"
"jan","149275",72966,"296758186","G"
"31","103375",72959,"305575930","G"
"investment","125954",72939,"337355765","G"
"average","100530",72850,"349026459","N"
"200","94193",72768,"357433554","G"
"ask","93914",72741,"388631389","G"
"victory","107656",72698,"347069704","N"
"students","195155",72520,"360713859","G"
"heart","102511",72491,"392174939","N"
"evidence","115349",72359,"365803453","N"
"rise","88715",72354,"376722264","N"
"european","110893",72234,"319981204","N"
"class","112218",72216,"393492007","N"
"created","86313",72127,"381575333","G"
"forces","144167",72098,"349985149","N"
"safety","114972",71944,"351823479","G"
"articles","123239",71913,"308593051","N"
"concerns","90782",71882,"350924542","N"
"prices","138596",71875,"343745305","G"
"hands","88886",71864,"395518985","G"
"true","87693",71816,"410082778","G"
"quickly","85252",71689,"386423018","G"
"charge","97228",71688,"336693499","N"
"appeared","85194",71654,"334664448","G"
"ensure","89034",71587,"319621808","G"
"medical","109937",71533,"336817585","G"
"self","101215",71520,"402803649","G"
"various","85987",71397,"321829178","G"
"confirmed","85758",71335,"292995418","G"
"mean","85870",71317,"398445293","G"
"certain","85012",71254,"380695359","G"
"message","94761",71193,"356755305","N"
"workers","154714",70801,"373876205","N"
"happen","86863",70732,"390038619","G"
"goal","120928",70625,"338078203","N"
"meanwhile","77975",70503,"315543556","G"
"felt","91506",70481,"372743031","G"
"check","88874",70411,"326734700","G"
"wrong","88225",70124,"390690037","G"
"white house","221332",69996,"341758467","PN"
"budget","149216",69979,"352562586","N"
"presidential","117021",69908,"341084258","G"
"sense","87176",69890,"409306963","N"
"expect","86269",69545,"357627594","G"
"arrested","115828",69464,"275653213","G"
"below","84080",69426,"301350322","G"
"opposition","116607",69327,"340400093","N"
"thank","82134",69208,"237925808","G"
"facing","78617",69199,"316653413","G"
"amount","85891",68997,"340164986","N"
"attacks","120390",68957,"341620333","N"
"range","88023",68911,"335725627","N"
"parents","126024",68840,"379694302","G"
"russia","284962",68719,"315703379","PN"
"drive","91706",68676,"362396273","G"
"provided","85779",68669,"335280148","G"
"described","81115",68635,"347125144","G"
"buy","97586",68602,"346944391","G"
"politics","100938",68561,"356902520","G"
"forced","83033",68452,"368887855","G"
"beyond","79364",68417,"365996761","G"
"sales","143099",68381,"324952441","N"
"includes","83084",68363,"329031508","G"
"management","100841",68357,"311633707","N"
"challenge","83220",68320,"363976887","G"
"mind","79481",68251,"367045740","N"
"effort","82623",68192,"361296750","N"
"attention","80592",68126,"364003400","N"
"calling","79826",68089,"334807790","G"
"cause","84206",68089,"337247809","G"
"events","93638",68061,"337414360","N"
"via","99563",68024,"306856316","G"
"talking","82272",67944,"361622840","G"
"parties","106110",67615,"278495162","N"
"changed","83054",67613,"369168590","G"
"moving","82727",67553,"351696167","G"
"towards","87624",67549,"308196466","G"
"study","138397",67382,"332557418","G"
"entire","77973",67378,"344206048","G"
"europe","131263",67256,"312032412","PN"
"opened","86409",67245,"342784804","G"
"quarter","150373",67235,"295248276","N"
"value","96388",67208,"323042002","G"
"relationship","104305",67182,"334162786","N"
"35","85016",67163,"316557665","G"
"firm","100368",67111,"307965376","N"
"success","85741",67008,"355830441","N"
"book","126268",66959,"371867332","G"
"chinese","124617",66892,"296788953","N"
"charges","110798",66853,"299207320","N"
"o","150697",66823,"368579671","G"
"issued","85985",66722,"287212143","G"
"join","81053",66680,"314527498","G"
"july","101807",66479,"308316237","G"
"september","91495",66431,"299506971","PN"
"image","97994",66417,"285766244","G"
"views","81809",66266,"281040159","N"
"pretty","82139",66259,"359811126","G"
"wall","114686",66243,"341760989","N"
"civil","89350",66194,"324556358","G"
"present","79377",66180,"306037062","G"
"2011","87366",66170,"325091431","G"
"particularly","76246",66153,"356302191","G"
"built","90459",66088,"358639993","G"
"else","77219",65888,"381262914","G"
"travel","105627",65865,"342443417","G"
"officers","150761",65777,"290477233","N"
"seeking","77390",65682,"309854095","G"
"paul","100312",65541,"339012917","N"
"fell","90399",65501,"310080335","G"
"demand","95647",65475,"296797874","N"
